iter	Passed	Remaining
1525	9966	3095
1526	9972	3089
1527	9979	3082
1528	9986	3076
1529	9992	3069
1530	9998	3062
1531	10004	3056
1532	10010	3049
1533	10016	3042
1534	10022	3036
1535	10028	3029
1536	10035	3022
1537	10041	3016
1538	10047	3009
1539	10053	3002
1540	10060	2996
1541	10066	2989
1542	10072	2983
1543	10079	2976
1544	10086	2970
1545	10093	2964
1546	10101	2957
1547	10107	2951
1548	10114	2944
1549	10120	2938
1550	10127	2931
1551	10134	2925
1552	10140	2918
1553	10147	2912
1554	10154	2905
1555	10161	2899
1556	10167	2892
1557	10173	2886
1558	10180	2879
1559	10187	2873
1560	10195	2867
1561	10201	2860
1562	10208	2854
1563	10215	2847
1564	10221	2841
1565	10228	2834
1566	10234	2828
1567	10241	2821
1568	10248	2815
1569	10255	2808
1570	10262	2802
1571	10269	2795
1572	10275	2789
1573	10282	2782
1574	10289	2776
1575	10296	2770
1576	10301	2763
1577	10309	2757
1578	10315	2750
1579	10322	2744
1580	10330	2737
1581	10336	2731
1582	10343	2724
1583	10349	2718
1584	10357	2711
1585	10364	2705
1586	10370	2698
1587	10376	2692
1588	10383	2685
1589	10390	2679
1590	10396	2672
1591	10402	2666
1592	10411	2659
1593	10417	2653
1594	10424	2646
1595	10430	2640
1596	10436	2633
1597	10442	2626
1598	10450	2620
1599	10457	2614
1600	10463	2607
1601	10469	2600
1602	10474	2594
1603	10480	2587
1604	10486	2580
1605	10493	2574
1606	10499	2567
1607	10507	2561
1608	10513	2554
1609	10519	2548
1610	10525	2541
1611	10531	2534
1612	10537	2528
1613	10543	2521
1614	10550	2515
1615	10556	2508
1616	10562	2501
1617	10568	2495
1618	10574	2488
1619	10580	2481
1620	10586	2475
1621	10592	2468
1622	10599	2462
1623	10605	2455
1624	10611	2448
1625	10616	2442
1626	10623	2435
1627	10629	2428
1628	10636	2422
1629	10641	2415
1630	10647	2408
1631	10653	2402
1632	10660	2395
1633	10667	2389
1634	10673	2382
1635	10679	2376
1636	10685	2369
1637	10691	2362
1638	10697	2356
1639	10704	2349
1640	10711	2343
1641	10718	2336
1642	10725	2330
1643	10730	2323
1644	10737	2317
1645	10743	2310
1646	10750	2304
1647	10757	2297
1648	10763	2291
1649	10770	2284
1650	10775	2277
1651	10782	2271
1652	10789	2264
1653	10795	2258
1654	10801	2251
1655	10807	2245
1656	10813	2238
1657	10820	2231
1658	10826	2225
1659	10832	2218
1660	10839	2212
1661	10845	2205
1662	10852	2199
1663	10859	2192
1664	10865	2186
1665	10872	2179
1666	10878	2173
1667	10886	2166
1668	10892	2160
1669	10899	2153
1670	10906	2147
1671	10914	2141
1672	10920	2134
1673	10926	2127
1674	10933	2121
